# -----------------------------------------------------------------------
# --- OP 1 - WS 8.0 - RPM 4.00 
# -----------------------------------------------------------------------
# --- "Selected" modes
# ID; Freq [Hz]; Zeta [-]; Mode content
001 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 5/s - AD vind at Bld coll., node 5/s - AD vind at Bld coll., node 6/s - AD vind at Bld coll., node 7/s - AD vind at Bld coll., node 6/s
002 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 10/s - AD vind at Bld coll., node 4/s - AD vind at Bld coll., node 10/s - AD vind at Bld coll., node 12/s - AD vind at Bld coll., node 3/s - AD vind at Bld coll., node 3/s - AD vind at Bld coll., node 19/s - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 4/s
003 ;    0.040 ;  1.0000 ; NoMax - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 19/s - AD vind at Bld coll., node 18/s - AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 8/s
004 ;    0.040 ;  1.0000 ; NoMax - AD vind at Bld coll., node 19/s - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 18/s
005 ;    0.040 ;  1.0000 ; NoMax - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 19/s - AD vind at Bld coll., node 18/s - AD vind at Bld coll., node 17/s - AD vind at Bld coll., node 6/s
006 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 18/s - AD vind at Bld coll., node 18/s
007 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 19/s
008 ;    0.102 ;  1.0000 ; AD vind at Bld coll., node 2/s - AD vind at Bld coll., node 2/s
047 ;    0.124 ;  0.9842 ; AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s
048 ;    0.124 ;  0.9842 ; AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s
049 ;    0.124 ;  0.9843 ; AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s
050 ;    0.124 ;  0.9843 ; AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s
051 ;    0.124 ;  0.9846 ; AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s
052 ;    0.124 ;  0.9846 ; AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s
053 ;    0.125 ;  0.9852 ; AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s
054 ;    0.125 ;  0.9852 ; AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s
055 ;    0.126 ;  0.9861 ; AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s
056 ;    0.126 ;  0.9861 ; AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s
057 ;    0.128 ;  0.9876 ; AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s
058 ;    0.128 ;  0.9876 ; AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s
059 ;    0.131 ;  0.9894 ; AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s
060 ;    0.131 ;  0.9894 ; AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s
061 ;    0.134 ;  0.9915 ; AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s
062 ;    0.134 ;  0.9915 ; AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s
064 ;    0.139 ;  0.9937 ; AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s
065 ;    0.139 ;  0.9937 ; AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s
066 ;    0.144 ;  0.9958 ; AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s
067 ;    0.144 ;  0.9958 ; AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s
068 ;    0.152 ;  0.9977 ; AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s
069 ;    0.152 ;  0.9977 ; AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 11/s
070 ;    0.161 ;  0.9991 ; AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s
071 ;    0.161 ;  0.9991 ; AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s
072 ;    0.174 ;  0.9999 ; AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s
073 ;    0.174 ;  0.9999 ; AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s
074 ;    0.190 ;  0.9998 ; AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s
075 ;    0.190 ;  0.9998 ; AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s
077 ;    0.213 ;  0.9983 ; AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s
078 ;    0.213 ;  0.9983 ; AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s
079 ;    0.239 ;  0.9960 ; AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s
080 ;    0.239 ;  0.9960 ; AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s
081 ;    0.267 ;  0.9932 ; AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s
082 ;    0.267 ;  0.9932 ; AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s
083 ;    0.306 ;  0.9894 ; AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s
084 ;    0.306 ;  0.9894 ; AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s
086 ;    0.331 ;  0.9872 ; AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s
087 ;    0.331 ;  0.9872 ; AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s
# -----------------------------------------------------------------------
# --- OP 6 - WS 8.0 - RPM 3.95 
# -----------------------------------------------------------------------
# --- "Selected" modes
# ID; Freq [Hz]; Zeta [-]; Mode content
007 ;    0.077 ;  0.0674 ; ED Variable speed generator DOF - ED 1st FLAP sin - ED 1st FLAP cos - ED 1st FLAP coll. - ED 2nd FLAP coll. - ED 2nd FLAP sin - ED 1st EDGE coll. - ED 1st EDGE sin - ED Nacelle yaw DOF - AD vind at Bld coll., node 18/s - AD vind at Bld coll., node 17/s - AD vind at Bld coll., node 16/s - AD vind at Bld coll., node 15/s - AD vind at Bld coll., node 9/s - AD vind at Bld coll., node 13/s - AD vind at Bld coll., node 11/s - AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 12/s - AD vind at Bld coll., node 5/s - AD vind at Bld coll., node 7/s - AD vind at Bld coll., node 6/s - AD vind at Bld coll., node 9/s - AD vind at Bld coll., node 8/s
017 ;    0.126 ;  0.1240 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 5/s
019 ;    0.126 ;  0.1228 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s
020 ;    0.126 ;  0.1213 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s
021 ;    0.126 ;  0.1213 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s
022 ;    0.126 ;  0.1194 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s
024 ;    0.127 ;  0.1172 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s
027 ;    0.127 ;  0.1146 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s
030 ;    0.128 ;  0.1085 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s
033 ;    0.128 ;  0.1051 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s
035 ;    0.129 ;  0.1013 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s
039 ;    0.130 ;  0.0973 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s
045 ;    0.130 ;  0.0938 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s
049 ;    0.131 ;  0.0910 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s
083 ;    0.320 ;  0.0036 ; ED 1st tower SS
084 ;    0.330 ;  0.0100 ; ED 1st tower FA
087 ;    0.640 ; -0.0167 ; NoMax - ED 1st FLAP sin - ED 1st FLAP cos - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld coll., node 19/s
088 ;    0.703 ;  0.0370 ; NoMax - ED 1st FLAP cos - ED 1st FLAP sin - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld coll., node 19/s
089 ;    0.774 ;  0.2887 ; NoMax - ED 1st FLAP sin - ED 1st FLAP cos - ED 2nd FLAP coll. - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s
090 ;    0.824 ; -0.1135 ; NoMax - ED 1st FLAP sin - ED 1st FLAP cos - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld coll., node 19/s
091 ;    1.103 ; -0.0427 ; ED 1st EDGE cos
092 ;    1.714 ;  0.0069 ; ED Drivetrain-rot
093 ;    1.805 ;  0.0628 ; NoMax - ED 2nd FLAP sin - ED 2nd FLAP coll. - AD vind at Bld sin , node 19/s - AD vind at Bld coll., node 19/s - AD vind at Bld cos, node 19/s
094 ;    1.989 ;  0.0006 ; ED 2nd FLAP cos
095 ;    2.390 ;  0.0117 ; NoMax - ED 2nd FLAP coll. - ED 2nd FLAP sin - ED Drivetrain-rot - AD vind at Bld coll., node 19/s - AD vind at Bld sin , node 19/s
096 ;    2.944 ;  0.0112 ; ED 2nd tower SS - ED 2nd tower FA
097 ;    3.242 ;  0.0221 ; NoMax - ED Drivetrain-rot - ED 2nd FLAP coll. - ED 2nd FLAP sin - AD vind at Bld coll., node 19/s - AD vind at Bld sin , node 19/s
098 ;    6.170 ;  0.2736 ; NoMax - ED 1st EDGE coll. - ED Drivetrain-rot - ED 2nd FLAP coll. - ED 2nd FLAP sin - AD vind at Bld coll., node 19/s
099 ;    6.209 ; -0.2742 ; NoMax - ED 1st EDGE coll. - ED Drivetrain-rot - ED 2nd FLAP coll. - ED 2nd FLAP sin - AD vind at Bld coll., node 19/s
# --- Skipped (No ED/BD)
008 ;    0.126 ;  0.1254 ; NoMax - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld sin , node 2/s
009 ;    0.126 ;  0.1254 ; NoMax - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld sin , node 5/s
010 ;    0.126 ;  0.1253 ; NoMax - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld sin , node 1/s
011 ;    0.126 ;  0.1253 ; NoMax - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 1/s
012 ;    0.126 ;  0.1251 ; NoMax - AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s - AD vind at Bld sin , node 1/s
013 ;    0.126 ;  0.1251 ; NoMax - AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s - AD vind at Bld sin , node 1/s
014 ;    0.126 ;  0.1247 ; NoMax - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 5/s
015 ;    0.126 ;  0.1247 ; NoMax - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 5/s
016 ;    0.126 ;  0.1240 ; NoMax - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 6/s
018 ;    0.126 ;  0.1228 ; NoMax - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld cos, node 5/s
023 ;    0.126 ;  0.1194 ; AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s
025 ;    0.127 ;  0.1172 ; AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s
026 ;    0.127 ;  0.1146 ; NoMax - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld sin , node 19/s
028 ;    0.127 ;  0.1118 ; NoMax - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 19/s
029 ;    0.127 ;  0.1117 ; NoMax - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 19/s
031 ;    0.128 ;  0.1086 ; AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s
032 ;    0.128 ;  0.1051 ; NoMax - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld cos, node 19/s
034 ;    0.129 ;  0.1013 ; NoMax - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 19/s
038 ;    0.130 ;  0.0973 ; NoMax - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 19/s
044 ;    0.130 ;  0.0939 ; NoMax - AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 19/s
048 ;    0.131 ;  0.0910 ; NoMax - AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 19/s
050 ;    0.132 ;  0.0881 ; NoMax - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 19/s
051 ;    0.132 ;  0.0881 ; NoMax - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s - AD vind at Bld sin , node 19/s
054 ;    0.132 ;  0.0867 ; AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s
055 ;    0.132 ;  0.0867 ; NoMax - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld coll., node 19/s - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s
# --- Skipped (Damping outside of `posDampRange`=[1e-05, 0.96])
001 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 6/s - AD vind at Bld coll., node 7/s - AD vind at Bld coll., node 12/s - AD vind at Bld coll., node 13/s - AD vind at Bld coll., node 15/s - AD vind at Bld coll., node 16/s
002 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 5/s
003 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 19/s - AD vind at Bld coll., node 10/s - AD vind at Bld coll., node 11/s - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 2/s - AD vind at Bld coll., node 10/s - AD vind at Bld coll., node 4/s - AD vind at Bld coll., node 4/s - AD vind at Bld coll., node 3/s - AD vind at Bld coll., node 2/s - AD vind at Bld coll., node 3/s - AD vind at Bld coll., node 19/s
004 ;    0.040 ;  1.0000 ; NoMax - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 19/s - AD vind at Bld coll., node 5/s - AD vind at Bld coll., node 7/s - AD vind at Bld coll., node 8/s
005 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 1/s
006 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 18/s - AD vind at Bld coll., node 17/s
036 ;    0.130 ;  0.9719 ; AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s
037 ;    0.130 ;  0.9719 ; AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s
040 ;    0.130 ;  0.9720 ; AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s
041 ;    0.130 ;  0.9720 ; AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s
042 ;    0.130 ;  0.9726 ; AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s
043 ;    0.130 ;  0.9726 ; AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s
046 ;    0.131 ;  0.9734 ; AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s
047 ;    0.131 ;  0.9734 ; AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s
052 ;    0.132 ;  0.9749 ; AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s
053 ;    0.132 ;  0.9749 ; AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s
056 ;    0.134 ;  0.9773 ; AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s
057 ;    0.134 ;  0.9773 ; AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s
058 ;    0.137 ;  0.9803 ; AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s
059 ;    0.137 ;  0.9803 ; AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s
060 ;    0.140 ;  0.9836 ; AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s
061 ;    0.140 ;  0.9836 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s
062 ;    0.144 ;  0.9873 ; AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s
063 ;    0.144 ;  0.9873 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s
064 ;    0.150 ;  0.9910 ; AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s
065 ;    0.150 ;  0.9910 ; AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s
066 ;    0.158 ;  0.9944 ; AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s
067 ;    0.158 ;  0.9944 ; AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s
068 ;    0.167 ;  0.9974 ; AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s
069 ;    0.167 ;  0.9973 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s
070 ;    0.169 ;  1.0000 ; AD vind at Bld coll., node 14/s - AD vind at Bld coll., node 14/s
071 ;    0.179 ;  0.9994 ; AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s
072 ;    0.179 ;  0.9994 ; AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s
073 ;    0.196 ;  1.0000 ; AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s
074 ;    0.196 ;  1.0000 ; AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s
075 ;    0.219 ;  0.9988 ; AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s
076 ;    0.219 ;  0.9988 ; AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s
077 ;    0.245 ;  0.9959 ; AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s
078 ;    0.246 ;  0.9959 ; AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s
079 ;    0.274 ;  0.9922 ; AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s
080 ;    0.275 ;  0.9922 ; AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s
081 ;    0.314 ;  0.9870 ; AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s
082 ;    0.314 ;  0.9870 ; AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s
085 ;    0.340 ;  0.9838 ; NoMax - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld coll., node 19/s
086 ;    0.340 ;  0.9838 ; AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s
# -----------------------------------------------------------------------
# --- OP 7 - WS 8.0 - RPM 4.68 
# -----------------------------------------------------------------------
# --- "Selected" modes
# ID; Freq [Hz]; Zeta [-]; Mode content
029 ;    0.145 ;  0.0792 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s
031 ;    0.145 ;  0.0778 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s
032 ;    0.145 ;  0.0759 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s
033 ;    0.145 ;  0.0759 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s
035 ;    0.145 ;  0.0735 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s
040 ;    0.146 ;  0.0675 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s
041 ;    0.146 ;  0.0675 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s
043 ;    0.147 ;  0.0638 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 11/s - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s
045 ;    0.147 ;  0.0597 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s
047 ;    0.148 ;  0.0550 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s
049 ;    0.148 ;  0.0499 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s
051 ;    0.149 ;  0.0443 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s
059 ;    0.151 ;  0.0305 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s
068 ;    0.183 ; -0.3533 ; ED Variable speed generator DOF - ED 1st FLAP coll. - ED 1st FLAP sin
080 ;    0.321 ;  0.0026 ; ED 1st tower SS - ED 1st tower FA
085 ;    0.411 ;  0.0062 ; NoMax - ED 1st FLAP coll. - ED Variable speed generator DOF - ED 1st FLAP sin - AD vind at Bld coll., node 19/s - AD vind at Bld sin , node 19/s
086 ;    0.603 ;  0.0433 ; ED 1st FLAP cos
087 ;    0.749 ;  0.0345 ; NoMax - ED 1st FLAP sin - ED 1st FLAP cos - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld coll., node 19/s
088 ;    1.026 ; -0.0064 ; ED 1st EDGE cos - ED 1st EDGE sin
089 ;    1.201 ;  0.0161 ; NoMax - ED 1st EDGE sin - ED 1st FLAP coll. - ED 1st EDGE cos - ED Variable speed generator DOF - AD vind at Bld coll., node 19/s
090 ;    1.668 ;  0.0248 ; ED 1st EDGE coll. - ED Drivetrain-rot
091 ;    1.866 ;  0.0035 ; ED 2nd FLAP cos
092 ;    2.010 ;  0.0173 ; ED 2nd FLAP coll.
093 ;    2.129 ;  0.0344 ; ED 2nd FLAP sin
094 ;    2.878 ;  0.0115 ; ED 2nd tower FA
095 ;    2.943 ;  0.0119 ; ED 2nd tower SS
096 ;    3.800 ;  0.0575 ; NoMax - ED Drivetrain-rot - ED 1st EDGE coll. - ED Variable speed generator DOF - ED 1st FLAP coll. - AD vind at Bld coll., node 19/s
097 ;    6.100 ;  0.0402 ; ED Nacelle yaw DOF
# --- Skipped (No ED/BD)
006 ;    0.136 ;  0.9562 ; AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s
007 ;    0.136 ;  0.9562 ; AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s
008 ;    0.136 ;  0.9564 ; AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s
009 ;    0.136 ;  0.9564 ; AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s
010 ;    0.137 ;  0.9572 ; AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s
011 ;    0.137 ;  0.9572 ; AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s
012 ;    0.137 ;  0.9584 ; AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s
013 ;    0.137 ;  0.9584 ; AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s
020 ;    0.145 ;  0.0810 ; NoMax - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld sin , node 2/s
